Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cs2O;Cr2O3;CuO;NiO;Rb2O;SrO;WO3;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Ra;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Carbon Organic;Carbon Organic Calc;Ag-107;Ag-109;Ag-109/107;Ar-36;Ar-38/36;Ar-40/36;B-11/10;Ba-130/138;Ba-135/138;Ba-136/138;Cd-106;Cd-108;Cd-110;Cd-111;Cd-112;Cd-113;Cd-114;Cd-114/116;Cd-116;Ce-138/142;Cu-63;Cu-63/65;Cu-65;dC-13 -;dN-15 +;dO-18 Biotite;dO-18 K-feldspar;dO-18 Plagioclase;dO-18 Quartz;dO-18 Whole Rock;dS-34 +;dS-34 -;He-3/4;He-4;Hf-176/177;Kr-78/84;Kr-80/84;Kr-82/84;Kr-83/84;Kr-84;Kr-86/84;Li-7/6;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Ne-20;Ne-20/22;Ne-21/22;NH4;Pb-204;Pb-206;Pb-207;Pb-208;Pb-206/204;Pb-207/204;Pb-208/204;Pb-208/206;Ra;Ra-226;Ra-228;Ra-228/226;Sm-147/Nd-14;Sr-87/86;Tl-203;Tl-205;Tl-205/203;Thorium Series Isotopes;Th-228/232;Th-230/232;U-series;U-234/238;U-238/235;V-51/50;Xe-128/132;Xe-129/132;Xe-130/132;Xe-131/132;Xe-132;Xe-134/132;Xe-136/132;Zn-68/64;Age;Loss on Ignition;Comment
GA;Concentration;14.5;2.45;0.11;1.36;2.83;1.32;;0.87;0.09;;4.03;;0.95;0.09;3.55;0.12;69.9;0.38;0.008372;0.093786;;0.00175386;;;;0.03666091;;0.00995808;0.02025;;;7.67;1.7;;26;840;3.6;;;;1.75;0.13;76;250;5;12;6;16;3.3;1.9;1.08;500;1.98;16;3.8;1.7;;4;;0.7;;0.03;;3.34;40;90;0.3;;700;0.5;;2.63;12;27;7;;;520;30;;8.3;;;175;;;;80;0.2;7;;;5;2.7;310;1.3;0.6;;17;;0.008;0.3;5;38;1.5;21;2;80;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
GA;Uncertainty;0.09;0.03;0.04;0.09;0.06;0.04;;0.05;0.04;;0.03;;0.04;0.004;0.03;0.007;0.14;0.01;0.00161;0.0024563;;0.000438465;;;;0.001419132;;0.00124476;0.00162;;;0.05;0.4;;5;22;0.3;;;;0.02;;4;;0.7;3;0.5;1.5;0.3;0.2;0.05;50;0.04;2;0.3;;;0.3;;0.1;;;;0.02;3;10;0.03;;30;0.1;;0.02;1.6;3;3;;;30;3;;0.3;;;5;;;;;0.1;1.4;;;0.5;0.3;12;0.2;0.1;;1.8;;;0.04;0.5;4;0.5;2;0.2;10;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GA;Units;%;%;%;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;;;%;ppm;;ppm;ppm;ppm;;;;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;;ppm;;ppm;;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;;ppm;;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
GA;N;45;46;17;23;47;24;;20;19;;46;;44;41;37;31;45;45;13;58;;51;;;;83;;56;46;;;45;8;;13;58;18;;;;46;5;27;14;44;51;22;60;9;;15;18;47;27;12;;;11;;;;;;46;27;28;10;;41;9;;37;17;17;50;;;31;49;;7;;;78;;;;8;6;21;;;17;13;83;;5;;23;;7;;19;46;5;26;21;56;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GA;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;;;;Working value;;Working value;Working value;;;Working value;Working value;;Working value;Working value;Working value;;;;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;Working value;;Working value;;Provisional value;;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;Working value;Working value;Working value;;;Working value;Working value;;Working value;;;Working value;;;;Provisional value;Working value;Working value;;;Working value;Working value;Working value;Working value;Working value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
GH;Concentration;12.5;0.69;0.3;0.41;1.34;0.84;;0.46;0.14;;4.76;;0.03;0.05;3.85;0.01;75.8;0.08;;0.002233;;0.000438465;;;0.0426;0.000946088;;0.00684618;0.02025;;;6.61;0.4;;;20;5.5;;;;4900;0.1;60;100;0.3;3;2.5;3;12;8;0.12;3500;0.937;23;9.5;2;;6.6;;2.9;;0.04;;3.95;25;45;1.1;;390;2;;2.86;85;29;3;;;44;45;;7.8;;;390;;;;70;;0.8;;;9;10;8;4.8;1.9;;87;;1.8;1.3;18;5;1.6;75;8;55;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;
GH;Uncertainty;0.1;0.04;0.05;0.08;0.07;0.05;;0.08;0.05;;0.05;;0.015;0.002;0.07;0.005;0.18;0.01;;0.00033495;;0.000146155;;;0.0011;0.000236522;;0.00062238;0.0027;;;0.05;0.1;;;3;0.8;;;;290;;3;;0.1;1;0.2;1.5;0.6;0.4;0.02;200;0.049;1.5;0.8;;;0.5;;0.3;;;;0.04;1;5;0.15;;15;0.4;;0.05;5;2;1.5;;;22;4.4;;0.5;;;10;;;;;;0.5;;;0.4;2;2;0.4;0.2;;8;;0.4;0.1;1;3;0.4;3;0.6;5;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GH;Units;%;%;%;%;%;%;;%;%;;%;;%;%;%;%;%;%;;%;;%;;;%;%;;%;%;;;%;ppm;;;ppm;ppm;;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;;ppm;;ppm;;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;;ppm;;;;ppm;;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
GH;N;45;45;18;23;48;23;;19;18;;44;;41;41;38;26;45;42;;42;;40;;;61;;;50;42;;;45;6;;;42;19;;;;45;7;28;14;24;40;19;52;11;;14;20;48;24;12;;;9;;;;;;44;25;24;10;;41;11;;38;14;18;33;;;26;44;;;;;61;;;;7;;14;;;19;21;;7;5;;23;;9;;19;20;6;23;24;50;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GH;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;;Working value;;;Working value;Working value;;Working value;Working value;;;Working value;Working value;;;Working value;Working value;;;;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;Working value;;Working value;;Provisional value;;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;Working value;Working value;Working value;;;Working value;Working value;;Working value;;;Working value;;;;Provisional value;;Working value;;;Working value;Working value;Working value;Working value;Working value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
GS-N;Concentration;14.67;2.5;0.18;1.92;3.75;1.65;;1.02;0.28;;4.63;;2.3;0.056;3.77;0.28;65.8;0.68;;0.15631;;0.008038525;;;0.0202;0.06740877;;0.005974848;0.031725;;;7.76;1.6;;;1400;5.4;0.18;;;1.79;0.04;135;450;65;55;5.4;20;3.1;1.5;1.7;1050;2.62;22;5.2;1.3;;6.2;;0.6;;0.02;;3.84;75;55;0.22;;430;1.2;;2.8;21;49;34;;;1200;53;;14.5;;;185;;;;140;0.7;7.3;;;7.5;3;570;2.6;0.6;;41;;;0.22;7.5;65;450;16;1.4;48;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.33;
GS-N;Uncertainty;0.09;0.05;0.07;0.11;0.04;0.07;;0.08;0.05;;0.06;;0.05;0.004;0.05;0.02;0.19;0.03;;0.0049126;;0.00058462;;;0.0006;0.002246959;;0.000410771;0.002025;;;0.05;0.3;;;44;0.1;;;;0.04;;7;;4;4;0.26;0.7;0.3;0.15;0.06;80;0.03;3;0.3;;;0.33;;0.16;;;;0.05;2.7;4.5;0.03;;30;0.3;;0.04;3;1.5;4;;;90;4;;0.6;;;5;;;;;0.17;0.4;;;0.22;0.2;19;0.2;0.04;;3.5;;;0.03;0.8;8;63;0.6;0.15;3.3;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GS-N;Units;%;%;%;%;%;%;;%;%;;%;;%;%;%;%;%;%;;%;;%;;;%;%;;%;%;;;%;ppm;;;ppm;ppm;ppm;;;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;;ppm;;ppm;;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;;ppm;;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
GS-N;N;60;63;6;28;63;29;;22;26;;62;;61;55;56;50;58;61;;32;;33;;;29;30;;30;20;;;;7;;;32;9;;;;63;6;27;9;36;33;15;26;7;8;27;15;63;11;10;;;11;;5;;;;62;30;14;17;;55;6;;56;8;21;31;;;50;23;;;;;29;;;;6;7;15;;;22;5;30;13;14;;17;;;;17;17;7;18;22;30;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GS-N;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;;Working value;;;Working value;Working value;;Working value;Working value;;;Working value;Working value;;;Working value;Working value;Provisional value;;;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;Working value;;Working value;;Provisional value;;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;Working value;Working value;Working value;;;Working value;Working value;;Working value;;;Working value;;;;Provisional value;Working value;Working value;;;Working value;Working value;Working value;Working value;Working value;;Working value;;;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
GSP-1;Concentration;15.1;2.07;0.11;1.75;4.29;2.34;;0.53;0.08;0.62;5.51;;0.96;0.04;2.8;0.28;67.22;0.65;4.19E-04;0.1462615;;1.90E-03;;;2.78E-02;2.77E-02;;1.29E-02;0.07155;99.59;0.086;7.99;0.1;0.0014;1.3;1310;1.4;0.039;0.52;310;1.48;0.058;399;330;6.6;13;1.02;33;5.5;2.7;2.33;3630;3;23;12.1;1.36;782;15.5;0.022;1.01;0.08;0.052;0.0003;4.57;184;31;0.214;5800;309;0.8;36;2.08;27.9;196;8.8;47.6;bdl;1230;55;0.0012;52;bdl;;254;bdl;bdl;;320;3.2;6.2;0.069;31.39;26.3;6.6;234;0.97;1.34;0.023;106;3900;1.43;0.38;2.54;53;0.3;26;1.7;104;530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.51136;;;;;;;;;;;;;17.95;15.355;48.09;2.725;;0.66;;;;1.3014;;;;;;;;;;;;;;;;;;;;;There were two datasets for BaO. The data set with the better data quality is shown. The other dataset is: BaO, Concentration: 0.15, Uncertainty: 0.01, Units: %, N: 115, Data Quality: Recommended value.
GSP-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.032;;;;;0.0005;;;0.0025;0.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSP-1;Uncertainty;0.26;0.04;0.02;0.18;0.14;0.14;;0.11;0.04;0.13;0.08;;0.07;0.0036;0.09;0.02;0.24;0.03;0.000161;1.12E-03;;4.38E-04;;;2.00E-04;3.55E-04;;1.24E-03;0.00945;0.46;0.013;0.14;0.02;0.0003;0.5;10;0.3;0.006;0.28;60;0.03;0.008;26;24;0.8;3;0.19;5;0.7;0.6;0.21;240;0.1;3;0.2;0.27;;1.4;0.01;0.15;0.04;0.003;0.0004;0.07;18;4;0.039;400;28;0.6;10;0.07;1.2;17;1.9;0.3;;100;2;0.0008;6;;;2;;;;110;0.4;0.6;0.01;0.11;2.4;0.7;3;0.19;0.17;0.007;6;200;0.15;0.11;0.12;7;0.05;1.7;0.3;10;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSP-1;Units;%;%;%;%;%;%;;%;%;%;%;;%;%;%;%;%;%;%;%;;%;;;%;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pCi/g;;;;;;;;;;;;;;;;;;;;;;;;;
GSP-1;N;125;139;20;39;159;49;;29;27;23;148;;124;147;120;78;121;147;10;115;;93;;;137;146;;90;95;;15;125;9;12;10;115;24;10;3;20;139;19;92;25;108;93;45;103;39;24;69;44;159;53;43;11;2;41;29;21;3;6;6;148;107;45;50;124;147;13;3;120;35;73;102;12;1;78;88;3;28;3;;137;1;2;;19;36;64;14;121;76;30;146;37;52;7;83;147;28;20;56;83;5;58;80;90;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;2;2;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;
GSP-1;Data Quality;Recommended value;Certified value equivalent;Provisional value;Provisional value;Recommended value;Recommended value;;Provisional value;Provisional value;Provisional value;Certified value equivalent;;Recommended value;Not provided by compiler;Recommended value;Recommended value;Certified value equivalent;Certified value equivalent;Provisional value;Certified value equivalent;;Provisional value;;;Certified value equivalent;Certified value equivalent;;Recommended value;Recommended value;Not provided by compiler;Recommended value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Certified value equivalent;Provisional value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Certified value equivalent;Provisional value;Recommended value;Certified value equivalent;Provisional value;Provisional value;Provisional value;;Certified value equivalent;Provisional value;Provisional value;;Provisional value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;;;;;;;;;;;;;Provisional value;Provisional value;Provisional value;Provisional value;;Provisional value;;;;Provisional value;;;;;;;;;;;;;;;;;;;;;
GSR-1;Concentration;13.40;1.55;0.15;1.00;;1.03;;0.61;;;5.01;;0.42;0.06;3.13;0.14;72.83;0.29;;;;;;;;;;;;;0.033;;2.1;0.55;;343;;;;;;;108;127;3.4;5;38.4;3.2;10.2;;0.85;;;19;;;;6.3;4.3;;;0.02;;;54;;1.15;;;3.5;;;40;47;;;;;;;;;;466;;;;;0.21;6.1;0.059;;9.7;;106;7.2;1.65;;54;;;;18.8;24;8.4;62;7.4;28;167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSR-1;Uncertainty;0.11;0.07;0.05;0.10;;0.06;;0.09;;;0.10;;0.05;0.003;0.09;0.01;0.15;0.02;;;;;;;;;;;;;0.01;;0.5;0.18;;45;;;;;;;11;19;1;3;1.5;1.3;0.5;;10;;;2;;;;0.8;2.2;;;0.007;;;5;;0.12;;;0.3;;;4;5;;;;;;;;;;26;;;;;0.09;0.6;0.041;;1.2;;9;0.7;0.13;;4;;;;2.2;3;0.7;7;0.7;4;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSR-1;Units;%;%;%;%;;%;;%;;;%;;%;%;%;%;%;%;;;;;;;;;;;;;%;;ppm;ng/g;;ppm;;;;;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;;;ppm;;;;ppm;ng/g;;;ppm;;;ppm;;ppm;;;ppm;;;ppm;ppm;;;;;;;;;;ppm;;;;;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;;ppm;;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSR-1;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSR-1;Data Quality;Certificate value;Certificate value;Certificate value;Certificate value;;Certificate value;;Certificate value;;;Certificate value;;Certificate value;Certificate value;Certificate value;Certificate value;Certificate value;Certificate value;;;;;;;;;;;;;Certificate value;;Certificate value;Certificate value;;Certificate value;;;;;;;Certificate value;Certificate value;Certificate value;Certificate value;Certificate value;Certificate value;Certificate value;;Certificate value;;;Certificate value;;;;Certificate value;Certificate value;;;Certificate value;;;Certificate value;;Certificate value;;;Certificate value;;;Certificate value;Certificate value;;;;;;;;;;Certificate value;;;;;Certificate value;Certificate value;Certificate value;;Certificate value;;Certificate value;Certificate value;Certificate value;;Certificate value;;;;Certificate value;Certificate value;Certificate value;Certificate value;Certificate value;Certificate value;Certificate value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GXR-1;Concentration;6.64;1.34;0.54;32.90;35.80;0.82;;3.70;1.23;4.70;0.06;;0.36;;0.07;0.15;48.57;0.06;0.00483;0.08;;0.001753856;0.14;;;0.03252178;;0.09460177;0.00513;97.20;31;3.51;427;3.3;15;750;1.22;1380;0.5;1640;0.96;3.3;17;121;8.2;12;3;1110;4.3;;0.69;1260;;13.8;4.2;13;;0.96;3.9;;;0.77;;490;7.5;8.2;0.28;2200;880;18;;;0.8;18;41;;;640;730;bdl;;bdl;;14;;;;2570;122;1.58;16.6;22.68;2.7;54;275;0.175;0.83;13;2.44;380;0.39;0.43;34.9;80;164;32;1.9;760;38;;1465;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128.2;;;;;;;;;;;5.3;
GXR-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0001;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GXR-1;Uncertainty;0.19;0.14;;1.70;1.70;;;0.15;0.27;0.60;0.01;;0.07;;0.01;0.01;1.52;0.03;0.0001932;0.02;;0.000438465;0.01;;;0.001300871;;0.0124476;0.00216;2.30;4;0.1;45;0.3;0.6;180;0.24;460;;350;0.1;1.3;7;11;1.5;3;0.6;115;1.2;;0.05;170;;1.6;0.3;;;0.24;0.6;;;0.32;;90;0.8;1.2;0.06;400;70;6;;;;;8;;;60;60;;;;;9;;;;180;18;0.2;2.3;0.71;0.3;9;11;0.075;0.07;4;0.19;190;0.2;;1.2;10;65;11;0.3;100;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;
GXR-1;Units;%;%;%;%;%;%;;%;%;%;%;;%;;%;%;%;%;%;%;;%;%;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;;;ppm;ppm;ppm;;ppm;;ppm;;;;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
GXR-1;N;17;29;1;56;56;1;;5;4;5;21;;29;;20;8;19;20;6;28;;39;130;;;19;;121;15;;77;17;53;38;6;28;9;27;2;5;29;30;6;4;88;39;11;130;3;;5;15;;9;3;1;;7;17;;;7;;21;7;13;3;29;79;69;;;2;2;93;;;8;113;2;;2;;10;;;;7;38;8;21;19;6;23;19;6;4;6;8;20;5;1;25;25;26;10;5;121;15;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;4;
GXR-1;Data Quality;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;;Provisional value;Provisional value;Provisional value;Recommended value;;Provisional value;;Recommended value;Recommended value;Recommended value;Provisional value;Certified value equivalent;Provisional value;;Provisional value;Recommended value;;;Certified value equivalent;;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;;Provisional value;Recommended value;;Recommended value;Provisional value;Provisional value;;Recommended value;Recommended value;;;Provisional value;;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;;;Provisional value;Provisional value;Recommended value;;;Recommended value;Recommended value;Provisional value;;Provisional value;;Provisional value;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Certified value equivalent;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;;Provisional value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;;;;;;;;;;;Provisional value;
